country,n,median_valuation_b,median_funding_b,avg_residual_ln,median_outperformance_pct
South Korea,12,2.17,0.2515,0.3477198766831127,0.1964442133787816
Singapore,14,1.7,0.391,0.18703720810674543,-0.03676885787425205
Israel,20,1.4,0.2425,0.11895674498427926,-0.14540871911747322
Canada,18,1.875,0.267,0.07204379822337753,-0.15979066442990136
United Kingdom,43,2.0,0.403,0.028687910474731366,-0.061841216921115105
India,64,1.9,0.452,0.024023404206282017,-0.07058295535414189
United States,561,2.0,0.337,0.012696732439192124,-0.10940707749294021
Germany,25,2.0,0.593,-0.06712810743683192,-0.13638850331879537
France,23,1.98,0.517,-0.08858758050726007,-0.023717899886754434
China,166,1.455,0.3835,-0.10309195073725597,-0.15980152122422275
Brazil,18,1.75,0.551,-0.19740153074081293,-0.3064516523841158
